defName,label,baseArmorSharp,baseArmorBlunt,baseArmorHeat,materialCoefficient,acceptedMaterials,bodyPartCoverage,apparelLayers
Apparel_Headwrap,headwrap,,,,0.25,Fabric,,4
Apparel_Broadwrap,broadwrap,,,,0.25,Fabric,"Head,LeftEye,RightEye,LeftEar,RightEar,Nose,Jaw,Neck,LeftShoulder,RightShoulder",4
Apparel_VisageMask,visage mask,,,,0.3,"Woody,Metallic","Head,LeftEye,RightEye,LeftEar,RightEar,Nose,Jaw",4
Apparel_Slicecap,slicecap,,,,0.1,"Woody,Metallic",,4
Apparel_Collar,slave collar,,,,0,"Metallic,Leathery",Neck,4
Apparel_AuthorityCap,authority cap,,,,0.2,"Fabric,Leathery",,4
Apparel_Tailcap,tailcap,,,,0.2,Leathery,,4
Apparel_Shadecone,shadecone,,,,0.2,"Fabric,Leathery",,4
Apparel_Flophat,flophat,,,,0.2,Fabric,,4
Apparel_BodyStrap,slave body strap,,,,0.1,"Fabric,Leathery",Torso,2
Apparel_Burka,burka,,,,0.2,Fabric,"Head,LeftEye,RightEye,LeftEar,RightEar,Nose,Jaw,Neck,LeftShoulder,RightShoulder,Torso,LeftLeg,RightLeg,LeftArm,RightArm",2
Apparel_TortureCrown,torture crown,,,,0.15,"Metallic,Woody",,4
Apparel_Blindfold,blindfold,,,,0.1,Fabric,"LeftEye,RightEye",5
