defName,label,baseArmorSharp,baseArmorBlunt,baseArmorHeat,materialCoefficient,acceptedMaterials,bodyPartCoverage,apparelLayers
Apparel_PackJump,跳跃背包,,,,,,Waist,3
Apparel_PackBroadshield,便携护盾背包,,,,,,Waist,3
Apparel_PsyfocusHelmet,灵质头盔,0.09,0.09,0.27,,,,4
Apparel_EltexSkullcap,灵质头套,,,,,,,4
Apparel_PsyfocusShirt,灵质衬衫,0.07,0,0.04,,,"Torso,LeftShoulder,RightShoulder",0
Apparel_PsyfocusVest,灵质马甲,0.07,0,0.04,,,"Torso,Neck,LeftShoulder,RightShoulder",1
Apparel_PsyfocusRobe,灵质长袍,0.07,0,0.04,,,"Torso,Neck,LeftShoulder,RightShoulder,LeftArm,RightArm,LeftLeg,RightLeg",2
Apparel_ShirtRuffle,褶边礼服衬衫,,,,0.2,"Fabric,Leathery","LeftArm,RightArm,Neck",0
Apparel_Corset,紧身胸衣,,,,0.2,"Fabric,Leathery",Torso,1
Apparel_VestRoyal,贵族马甲,,,,0.2,"Fabric,Leathery",Torso,1
Apparel_RobeRoyal,皇家长袍,,,,0.2,"Fabric,Leathery","Torso,Neck,LeftShoulder,RightShoulder,LeftArm,RightArm,LeftLeg,RightLeg",2
Apparel_HatLadies,淑女帽,,,,,,,4
Apparel_HatTop,高顶礼帽,,,,,,,4
Apparel_Coronet,冠冕,,,,,Metallic,,4
Apparel_Crown,皇冠,,,,,Metallic,,4
Apparel_CrownStellic,星尘皇冠,,,,,Metallic,,4
Apparel_Beret,贝雷帽,,,,,"Fabric,Leathery",,4
Apparel_ArmorReconPrestige,圣装斥候装甲,0.92,0.4,0.46,,,"Torso,Neck,LeftShoulder,RightShoulder,LeftArm,RightArm,LeftLeg,RightLeg","1,2"
Apparel_ArmorHelmetReconPrestige,圣装斥候头盔,0.92,0.4,0.46,,,"Head,LeftEye,RightEye,LeftEar,RightEar,Nose,Jaw",4
Apparel_ArmorMarinePrestige,圣装海军装甲,1.06,0.45,0.54,,,"Torso,Neck,LeftShoulder,RightShoulder,LeftArm,RightArm,LeftLeg,RightLeg","1,2"
Apparel_ArmorMarineHelmetPrestige,圣装海军头盔,1.06,0.45,0.54,,,"Head,LeftEye,RightEye,LeftEar,RightEar,Nose,Jaw",4
Apparel_ArmorCataphract,骑士装甲,1.2,0.5,0.6,,,"Torso,Neck,LeftShoulder,RightShoulder,LeftArm,RightArm,LeftLeg,RightLeg","1,2"
Apparel_ArmorHelmetCataphract,骑士头盔,1.2,0.5,0.6,,,"Head,LeftEye,RightEye,LeftEar,RightEar,Nose,Jaw",4
Apparel_ArmorCataphractPrestige,圣装骑士装甲,1.2,0.5,0.6,,,"Torso,Neck,LeftShoulder,RightShoulder,LeftArm,RightArm,LeftLeg,RightLeg","1,2"
Apparel_ArmorHelmetCataphractPrestige,圣装骑士头盔,1.2,0.5,0.6,,,"Head,LeftEye,RightEye,LeftEar,RightEar,Nose,Jaw",4
Apparel_ArmorLocust,飞蝗装甲,0.87,0.35,0.41,,,"Torso,Neck,LeftShoulder,RightShoulder,LeftArm,RightArm,LeftLeg,RightLeg","1,2"
Apparel_Gunlink,枪械联控器,0,0,0,,,,4
