defName,label,damage,armorPenetration,stoppingPower,warmupTime,cooldown,range,burstShotCount,ticksBetweenBurstShots,accuracyTouch,accuracyShort,accuracyMedium,accuracyLong,marketValue
Gun_MiniTurretMech,mini-slugger,12,0.18,,,5.1,45.9,1,,0.8,0.55,0.35,0.1,
Gun_ChargeBlasterHeavyTurret,light charge blaster,15,0.225,,1.25,7.4,45.9,9,7,0.18,0.26,0.26,0.08,1400
Gun_InfernoCannonTurret,Gun_InfernoCannonTurret,10,0.15,,1.25,8.4,45.9,1,,,,,0.66,1400
Artillery_AutoMortar,auto-mortar,50,0.1,,4,,500,1,,,,,,
Gun_MiniTurret,mini-turret gun,12,0.18,,0,4.8,28.9,2,8,0.77,0.7,0.45,0.24,
Gun_AutocannonTurret,autocannon,27,0.405,,0,3.5,32.9,3,17,0.28,0.72,0.66,0.5,
Gun_TurretSniper,uranium slug cannon,55,0.825,,0,3.2,45.9,1,,0.22,0.33,0.44,0.95,
Gun_TurretFoam,foam sprayer,9999,0.8,1,0,0.1,19.9,41,2,1,1,1,1,
Gun_RocketswarmLauncher,rocketswarm tube,24,0.1,,,3.5,29.9,12,10,0.28,0.72,0.66,0.5,
Gun_Revolver,revolver,12,0.18,1,0.3,1.6,25.9,,,0.8,0.75,0.55,0.4,
Gun_Autopistol,autopistol,10,0.15,,0.3,1,25.9,,,0.8,0.7,0.4,0.3,
Gun_MachinePistol,machine pistol,6,0.09,,0.5,0.9,19.9,3,7,0.9,0.65,0.35,0.15,
Gun_IncendiaryLauncher,incendiary launcher,10,0.15,,3.5,3.5,23.9,1,,,,,,
Gun_SmokeLauncher,smoke launcher,0,0,,3.5,4.5,23.9,1,,,,,,
Gun_EmpLauncher,EMP launcher,50,0.75,,3.5,3.5,23.9,1,,,,,,
Gun_BoltActionRifle,bolt-action rifle,18,0.27,1.5,1.7,1.5,36.9,,,0.65,0.8,0.9,0.8,
Gun_PumpShotgun,pump shotgun,18,0.14,3,0.9,1.25,15.9,,,0.8,0.87,0.77,0.64,
Gun_ChainShotgun,chain shotgun,18,0.14,3,1.2,1.35,12.9,3,10,0.57,0.64,0.55,0.45,
Gun_HeavySMG,heavy SMG,12,0.18,,0.9,1.65,22.9,3,11,0.85,0.65,0.35,0.2,
Gun_LMG,LMG,12,0.18,1,1.8,1.6,25.9,6,7,0.4,0.48,0.35,0.26,
Gun_AssaultRifle,assault rifle,11,0.165,,1,1.7,30.9,3,10,0.6,0.7,0.65,0.55,
Gun_SniperRifle,sniper rifle,25,0.375,1.5,3.5,1.5,44.9,,,0.5,0.7,0.88,0.9,
Gun_Minigun,minigun,10,0.15,,2.5,1.5,30.9,25,5,0.2,0.25,0.25,0.18,
Gun_TripleRocket,triple rocket launcher,50,0.1,,4.5,4.5,35.9,3,20,,,,,1000
Gun_DoomsdayRocket,doomsday rocket launcher,50,0.1,,4.5,4.5,35.9,1,,,,,,1000
Weapon_GrenadeFrag,frag grenades,,,,1.5,2.66,12.9,,,,,,,
Weapon_GrenadeMolotov,molotov cocktails,,,,1.5,2.66,12.9,,,,,,,
Weapon_GrenadeEMP,EMP grenades,50,0.75,,1.5,2.66,12.9,,,,,,,
Gun_ChargeBlasterHeavy,Gun_ChargeBlasterHeavy,15,0.225,,1.25,7.4,26.9,24,5,0.18,0.26,0.26,0.18,1400
Gun_InfernoCannon,Gun_InfernoCannon,10,0.15,,1.25,8.4,26.9,1,,,,,,1400
Gun_Needle,needle gun,15,0.35,1.5,2.5,2.1,44.9,,,0.6,0.8,0.9,0.85,1400
Bow_Short,short bow,11,0.165,,1.35,1.65,22.9,,,0.75,0.65,0.45,0.25,
Pila,pila,25,0.1,2.5,4,2.5,18.9,,,0.8,0.71,0.5,0.32,
Bow_Recurve,recurve bow,14,0.21,1,1.45,1.65,25.9,,,0.7,0.78,0.65,0.35,
Bow_Great,greatbow,17,0.15,1.5,2,1.5,29.9,,,0.65,0.85,0.75,0.5,
Gun_ChargeRifle,charge rifle,16,0.35,,1,2,27.9,3,12,0.55,0.64,0.55,0.45,
Gun_ChargeLance,charge lance,30,0.45,1.5,1.7,2.7,32.9,,,0.65,0.85,0.85,0.75,
Gun_ThumpCannon,thump cannon,9,0.135,3,1,4,24.9,,,0.8,0.87,0.77,0.64,1400
