defName,label,damage,armorPenetration,stoppingPower,warmupTime,cooldown,range,burstShotCount,ticksBetweenBurstShots,accuracyTouch,accuracyShort,accuracyMedium,accuracyLong,marketValue
Gun_MiniTurretMech,mini-slugger,12,0.18,,,5.1,45.9,1,,0.8,0.55,0.35,0.1,
Gun_ChargeBlasterHeavyTurret,light charge blaster,15,0.225,,1.25,7.4,45.9,9,7,0.18,0.26,0.26,0.08,1400
Gun_InfernoCannonTurret,Gun_InfernoCannonTurret,10,0.15,,1.25,8.4,45.9,1,,,,,0.66,1400
Artillery_AutoMortar,auto-mortar,50,0.1,,4,,500,1,,,,,,
Gun_MiniTurret,小型机枪,12,0.18,,0,4.8,28.9,2,8,0.77,0.7,0.45,0.24,
Gun_AutocannonTurret,加农炮,27,0.405,,0,3.5,32.9,3,17,0.28,0.72,0.66,0.5,
Gun_TurretSniper,铀弹加农炮,55,0.825,,0,3.2,45.9,1,,0.22,0.33,0.44,0.95,
Gun_TurretFoam,泡沫灭火器,9999,0.8,1,0,0.1,19.9,41,2,1,1,1,1,
Gun_RocketswarmLauncher,集群火箭发射器,24,0.1,,,3.5,29.9,12,10,0.28,0.72,0.66,0.5,
Gun_Revolver,左轮手枪,12,0.18,1,0.3,1.6,25.9,,,0.8,0.75,0.55,0.4,
Gun_Autopistol,自动手枪,10,0.15,,0.3,1,25.9,,,0.8,0.7,0.4,0.3,
Gun_MachinePistol,冲锋手枪,6,0.09,,0.5,0.9,19.9,3,7,0.9,0.65,0.35,0.15,
Gun_IncendiaryLauncher,燃烧弹发射器,10,0.15,,3.5,3.5,23.9,1,,,,,,
Gun_SmokeLauncher,烟雾弹发射器,0,0,,3.5,4.5,23.9,1,,,,,,
Gun_EmpLauncher,EMP发射器,50,0.75,,3.5,3.5,23.9,1,,,,,,
Gun_BoltActionRifle,栓动步枪,18,0.27,1.5,1.7,1.5,36.9,,,0.65,0.8,0.9,0.8,
Gun_PumpShotgun,泵动霰弹枪,18,0.14,3,0.9,1.25,15.9,,,0.8,0.87,0.77,0.64,
Gun_ChainShotgun,链式霰弹枪,18,0.14,3,1.2,1.35,12.9,3,10,0.57,0.64,0.55,0.45,
Gun_HeavySMG,重型冲锋枪,12,0.18,,0.9,1.65,22.9,3,11,0.85,0.65,0.35,0.2,
Gun_LMG,轻机枪,12,0.18,1,1.8,1.6,25.9,6,7,0.4,0.48,0.35,0.26,
Gun_AssaultRifle,突击步枪,11,0.165,,1,1.7,30.9,3,10,0.6,0.7,0.65,0.55,
Gun_SniperRifle,狙击步枪,25,0.375,1.5,3.5,1.5,44.9,,,0.5,0.7,0.88,0.9,
Gun_Minigun,速射机枪,10,0.15,,2.5,1.5,30.9,25,5,0.2,0.25,0.25,0.18,
Gun_TripleRocket,三重火箭发射器,50,0.1,,4.5,4.5,35.9,3,20,,,,,1000
Gun_DoomsdayRocket,末日火箭发射器,50,0.1,,4.5,4.5,35.9,1,,,,,,1000
Weapon_GrenadeFrag,破片手榴弹,,,,1.5,2.66,12.9,,,,,,,
Weapon_GrenadeMolotov,莫洛托夫燃烧瓶,,,,1.5,2.66,12.9,,,,,,,
Weapon_GrenadeEMP,EMP手榴弹,50,0.75,,1.5,2.66,12.9,,,,,,,
Gun_ChargeBlasterHeavy,电荷冲击炮,15,0.225,,1.25,7.4,26.9,24,5,0.18,0.26,0.26,0.18,1400
Gun_InfernoCannon,地狱火加农炮,10,0.15,,1.25,8.4,26.9,1,,,,,,1400
Gun_Needle,穿刺针,15,0.35,1.5,2.5,2.1,44.9,,,0.6,0.8,0.9,0.85,1400
Bow_Short,短弓,11,0.165,,1.35,1.65,22.9,,,0.75,0.65,0.45,0.25,
Pila,重标枪,25,0.1,2.5,4,2.5,18.9,,,0.8,0.71,0.5,0.32,
Bow_Recurve,反曲弓,14,0.21,1,1.45,1.65,25.9,,,0.7,0.78,0.65,0.35,
Bow_Great,巨弓,17,0.15,1.5,2,1.5,29.9,,,0.65,0.85,0.75,0.5,
Gun_ChargeRifle,电荷步枪,16,0.35,,1,2,27.9,3,12,0.55,0.64,0.55,0.45,
Gun_ChargeLance,电荷标枪,30,0.45,1.5,1.7,2.7,32.9,,,0.65,0.85,0.85,0.75,
Gun_ThumpCannon,破城炮,9,0.135,3,1,4,24.9,,,0.8,0.87,0.77,0.64,1400
