defName,label,damage,armorPenetration,stoppingPower,warmupTime,cooldown,range,burstShotCount,ticksBetweenBurstShots,accuracyTouch,accuracyShort,accuracyMedium,accuracyLong,marketValue
Gun_AncientArmoredTurret,ancient defender turret gun,8,,,0,5.8,36.9,3,22,0.77,0.7,0.45,0.24,
Gun_Revolver_Unique,unique revolver,12,,1,0.3,1.6,25.9,,,0.8,0.75,0.55,0.4,
Gun_BoltActionRifle_Unique,unique bolt-action rifle,18,,1.5,1.7,1.5,36.9,,,0.65,0.8,0.9,0.8,
Gun_ChainShotgun_Unique,unique chain shotgun,18,0.14,3,1.2,1.35,12.9,3,10,0.57,0.64,0.55,0.45,
Gun_HeavySMG_Unique,unique heavy SMG,12,,,0.9,1.65,22.9,3,11,0.85,0.65,0.35,0.2,
Gun_LMG_Unique,unique LMG,12,,1,1.8,1.6,25.9,6,7,0.4,0.48,0.35,0.26,
Gun_AssaultRifle_Unique,unique assault rifle,11,,,1,1.7,30.9,3,10,0.6,0.7,0.65,0.55,
Gun_SniperRifle_Unique,unique sniper rifle,25,,1.5,3.5,1.5,44.9,,,0.5,0.7,0.88,0.9,
Gun_Minigun_Unique,unique minigun,10,,,2.5,1.5,30.9,25,5,0.2,0.25,0.25,0.18,
Bow_Great_Unique,unique greatbow,17,0.15,1.5,2,1.5,29.9,,,0.65,0.85,0.75,0.5,
Gun_ChargeRifle_Unique,unique charge rifle,16,0.35,,1,2,27.9,3,12,0.55,0.64,0.55,0.45,
Gun_ChargeLance_Unique,unique charge lance,30,,1.5,1.7,2.7,32.9,,,0.65,0.85,0.85,0.75,
Gun_HellcatRifle_Unique,unique hellcat rifle,10,,,1.1,1.7,26.9,3,10,0.6,0.7,0.65,0.55,
Gun_BeamRepeater_Unique,unique beam repeater,5,0.5,,4,3,21.9,30,10,0.65,0.72,0.65,0.6,
Apparel_PackHunter,hunter pack,,,,1,,20.9,1,,,,,,
Gun_BeamRepeater,beam repeater,5,0.5,,4,3,21.9,30,10,0.65,0.72,0.65,0.6,
Gun_Scattergun,scattergun,13,0.15,2.5,0.55,2,19.9,1,10,0.8,0.87,0.72,0.6,1000
