defName,label,damage,armorPenetration,stoppingPower,warmupTime,cooldown,range,burstShotCount,ticksBetweenBurstShots,accuracyTouch,accuracyShort,accuracyMedium,accuracyLong,marketValue
Gun_AncientArmoredTurret,远古守卫炮塔机枪,8,,,0,5.8,36.9,3,22,0.77,0.7,0.45,0.24,
Gun_Revolver_Unique,特化左轮手枪,12,,1,0.3,1.6,25.9,,,0.8,0.75,0.55,0.4,
Gun_BoltActionRifle_Unique,特化栓动步枪,18,,1.5,1.7,1.5,36.9,,,0.65,0.8,0.9,0.8,
Gun_ChainShotgun_Unique,特化链式霰弹枪,18,0.14,3,1.2,1.35,12.9,3,10,0.57,0.64,0.55,0.45,
Gun_HeavySMG_Unique,特化重型冲锋枪,12,,,0.9,1.65,22.9,3,11,0.85,0.65,0.35,0.2,
Gun_LMG_Unique,特化轻机枪,12,,1,1.8,1.6,25.9,6,7,0.4,0.48,0.35,0.26,
Gun_AssaultRifle_Unique,特化突击步枪,11,,,1,1.7,30.9,3,10,0.6,0.7,0.65,0.55,
Gun_SniperRifle_Unique,特化狙击步枪,25,,1.5,3.5,1.5,44.9,,,0.5,0.7,0.88,0.9,
Gun_Minigun_Unique,特化速射机枪,10,,,2.5,1.5,30.9,25,5,0.2,0.25,0.25,0.18,
Bow_Great_Unique,特化巨弓,17,0.15,1.5,2,1.5,29.9,,,0.65,0.85,0.75,0.5,
Gun_ChargeRifle_Unique,特化电荷步枪,16,0.35,,1,2,27.9,3,12,0.55,0.64,0.55,0.45,
Gun_ChargeLance_Unique,特化电荷标枪,30,,1.5,1.7,2.7,32.9,,,0.65,0.85,0.85,0.75,
Gun_HellcatRifle_Unique,特化地狱猫步枪,10,,,1.1,1.7,26.9,3,10,0.6,0.7,0.65,0.55,
Gun_BeamRepeater_Unique,特化脉冲射线炮,5,0.5,,4,3,21.9,30,10,0.65,0.72,0.65,0.6,
Apparel_PackHunter,猎手背包,,,,1,,20.9,1,,,,,,
Gun_BeamRepeater,脉冲射线炮,5,0.5,,4,3,21.9,30,10,0.65,0.72,0.65,0.6,
Gun_Scattergun,霰弹枪,13,0.15,2.5,0.55,2,19.9,1,10,0.8,0.87,0.72,0.6,1000
