defName,label,armorBlunt,armorSharp,armorHeat,materialCoefficient,acceptedMaterials,bodyPartCoverage,apparelLayers
Apparel_Headwrap,裹头巾,,,,0.25,Fabric,,4
Apparel_Broadwrap,头巾,,,,0.25,Fabric,"Head,LeftEye,RightEye,LeftEar,RightEar,Nose,Jaw,Neck,LeftShoulder,RightShoulder",4
Apparel_VisageMask,假面,,,,0.3,"Woody,Metallic","Head,LeftEye,RightEye,LeftEar,RightEar,Nose,Jaw",4
Apparel_Slicecap,壳帽,,,,0.1,"Woody,Metallic",,4
Apparel_Collar,奴隶项圈,,,,0,"Metallic,Leathery",Neck,4
Apparel_AuthorityCap,威权帽,,,,0.2,"Fabric,Leathery",,4
Apparel_Tailcap,毛皮帽,,,,0.2,Leathery,,4
Apparel_Shadecone,箬帽,,,,0.2,"Fabric,Leathery",,4
Apparel_Flophat,睡帽,,,,0.2,Fabric,,4
Apparel_BodyStrap,束缚带,,,,0.1,"Fabric,Leathery",Torso,2
Apparel_Burka,布卡罩袍,,,,0.2,Fabric,"Head,LeftEye,RightEye,LeftEar,RightEar,Nose,Jaw,Neck,LeftShoulder,RightShoulder,Torso,LeftLeg,RightLeg,LeftArm,RightArm",2
Apparel_TortureCrown,荆棘皇冠,,,,0.15,"Metallic,Woody",,4
Apparel_Blindfold,眼罩,,,,0.1,Fabric,"LeftEye,RightEye",5
