defName,label,damage,armorPenetration,stoppingPower,warmupTime,cooldown,range,burstShotCount,ticksBetweenBurstShots,accuracyTouch,accuracyShort,accuracyMedium,accuracyLong,marketValue
Gun_ToxbombLauncher,toxbomb launcher,,,,3.5,4.5,23.9,1,,,,,,
Weapon_GrenadeTox,tox grenades,,,,1.5,2.66,12.9,,,,,,,
Flamebow,flamebow,6,,,1.35,1.65,22.9,,,0.75,0.65,0.45,0.25,45
Gun_HellsphereCannon,hellsphere cannon,,,,7.5,6,18.9,1,,1,1,1,1,1400
Gun_MiniShotgun,mini-shotgun,10,0.12,2.5,1.2,1.7,12.9,1,10,0.8,0.87,0.7,0.55,1000
Gun_Slugthrower,slugthrower,12,,,0.3,4,19.9,1,8,0.2,0.3,0.4,0.95,1000
Gun_Spiner,spiner,12,,,0.3,1.8,6.9,1,8,0.2,0.3,0.4,0.95,500
Gun_ToxicNeedle,toxic needle gun,25,0.35,1.5,2.35,2.1,44.9,,,0.6,0.8,0.9,0.92,1400
Gun_NeedleLauncher,needle launcher,15,0.35,1.5,2.5,2.1,24.9,,,0.6,0.8,0.9,0.85,1400
Gun_ChargeBlasterTurret,charge blaster turret,15,,,,,44.9,,150,0.6,0.8,0.9,0.85,
