名称,伤害,护甲穿透,抑止能力,预热时间,冷却时间,射程(tiles),射速,连发数量,连发间隔(ticks),精度（近）,精度（中）,精度（远）,市场价值
EMP发射器,,,0.5,,3.50秒,23.9,,,,,,,"505 银"
EMP手榴弹,,,0.5,,2.66秒,12.9,,,,,,,"315 银"
三重火箭发射器,,10%,0.5,,4.50秒,35.9,,3,20,,,,"1000 银"
冲锋手枪,,9%,0.5,,0.90秒,19.9,,3,7,,,,"220 银"
刺针发射器,,35%,1.5,,2.10秒,24.9,,,,,,,"1400 银"
刺针枪,,35%,1.5,,2.10秒,44.9,,,,,,,"1400 银"
剧毒刺针枪,,35%,1.5,,2.10秒,44.9,,,,,,,"1400 银"
反曲弓,,21%,1.0,,1.65秒,25.9,,,,,,,"66 银"
地狱火加农炮,,0%,0.5,,8.40秒,26.9,,,,,,,"1400 银"
地狱火加农炮(炮塔),,0%,0.5,,8.40秒,45.9,,,,,,,"1400 银"
地狱猫步枪,,15%,0.5,,1.70秒,26.9,,3,10,,,,"495 银"
射弹枪,,18%,0.5,,4.00秒,19.9,,,,,,,"1000 银"
小型冲击枪,,18%,0.5,,5.10秒,46,,,,,,,"0 银"
小型射弹枪,,18%,0.5,,5.10秒,45.9,,,,,,,
小型机枪,,18%,0.5,,4.80秒,28.9,,2,8,,,,
左轮手枪,,18%,1.0,,1.60秒,25.9,,,,,,,"135.4 银"
巨弓,,15%,1.5,,1.50秒,29.9,,,,,,,"104.4 银"
帝王业火炮,,100%,0.5,,6.00秒,18.9,,,,,,,"1400 银"
广域射线炮,,50%,,,1.70秒,24.9,,5,22,,,,"1125 银"
战术炮塔机枪,,18%,0.5,,4.80秒,19.9,,2,8,,,,
末日火箭发射器,,10%,0.5,,4.50秒,35.9,,,,,,,"1000 银"
栓动步枪,,27%,1.5,,1.50秒,36.9,,,,,,,"255 银"
毒气弹发射器,,,0.5,,4.50秒,23.9,,,,,,,"380 银"
毒气手榴弹,,,0.5,,2.66秒,12.9,,,,,,,"315 银"
泡沫喷射器,,,1.0,,0.10秒,19.9,,41,2,,,,
泵动霰弹枪,,14%,3.0,,1.25秒,15.9,,,,,,,"255 银"
火焰弓,,9%,0.5,,1.65秒,22.9,,,,,,,"45 银"
烟雾弹发射器,,,0.5,,4.50秒,23.9,,,,,,,"380 银"
焚烬者喷射器,,0%,,,3.00秒,15.9,,20,2,,,,"530 银"
燃烧弹发射器,,0%,0.5,,3.50秒,23.9,,,,,,,"340 银"
燃烧瓶,,0%,0.5,,2.66秒,12.9,,,,,,,"245 银"
狙击步枪,,38%,1.5,,1.50秒,44.9,,,,,,,"530 银"
电荷冲击炮,,22%,0.5,,7.40秒,26.9,,24,5,,,,"1400 银"
电荷冲击炮塔,,22%,0.5,,,44.9,,,,,,,
电荷标枪,,45%,1.5,,2.70秒,32.9,,,,,,,"1355 银"
电荷步枪,,35%,0.5,,2.00秒,27.9,,3,12,,,,"1010 银"
短弓,,16%,0.5,,1.65秒,22.9,,,,,,,"44.64 银"
破城炮,,13%,3.0,,4.00秒,24.9,,,,,,,"1400 银"
破片手榴弹,,10%,0.5,,2.66秒,12.9,,,,,,,"265 银"
突击步枪,,16%,0.5,,1.70秒,30.9,,3,10,,,,"480 银"
脉冲射线炮,,50%,0.5,,3.00秒,21.9,,30,10,,,,"1235 银"
脊刺枪,,18%,0.5,,1.80秒,6.9,,,,,,,"500 银"
自动加农炮,,40%,0.5,,3.50秒,32.9,,3,17,,,,
自动手枪,,15%,0.5,,1.00秒,25.9,,,,,,,"139 银"
自动迫击炮（武器）,,10%,0.5,"4 秒",,500,,,,,,,
轻型电荷冲击炮,,22%,0.5,,7.40秒,45.9,,9,7,,,,"1400 银"
轻机枪,,18%,1.0,,1.60秒,25.9,,6,7,,,,"425 银"
远古守卫炮塔机枪,,12%,0.5,,5.80秒,36.9,,3,22,,,,
迷你火焰冲击枪,,,,,4.00秒,4.9,,10,4,,,,"1000 银"
迷你霰弹枪,,12%,2.5,,1.70秒,12.9,,,,,,,"1000 银"
速射机枪,,15%,0.5,,1.50秒,30.9,,25,5,,,,"1160 银"
重型冲锋枪,,18%,0.5,,1.65秒,22.9,,3,11,,,,"355 银"
重标枪,,10%,2.5,,2.50秒,18.9,,,,,,,"109.2 银"
铀弹加农炮,,82%,0.5,,3.20秒,45.9,,,,,,,
链式霰弹枪,,14%,3.0,,1.35秒,12.9,,3,10,,,,"405 银"
集群火箭发射器,,36%,0.5,,3.50秒,29.9,,12,10,,,,
霰弹枪,,15%,2.5,,2.00秒,19.9,,,,,,,"1000 银"
麻痹毒弩,,16%,0.5,,1.65秒,29.9,,,,,,,"62.4 银"
